#,region,flag,country,tatal area (Km²),world share
1,Europe,🇷🇺,Russian Federation,"17,098,242",11.00%
2,America,🇨🇦,Canada,"9,984,670",6.11%
3,Asia,🇨🇳,China,"9,706,961",6.30%
4,America,🇺🇸,United States,"9,372,610",6.14%
5,America,🇧🇷,Brazil,"8,515,767",5.61%
6,Australia & New Zealand,🇦🇺,Australia,"7,692,024",5.16%
7,Asia,🇮🇳,India,"3,287,590",2.00%
8,America,🇦🇷,Argentina,"2,780,400",1.84%
9,Asia,🇰🇿,Kazakhstan,"2,724,900",1.81%
10,Africa,🇩🇿,Algeria,"2,381,741",1.60%
11,Africa,🇨🇩,DR Congo,"2,344,858",1.52%
12,America,🇬🇱,Greenland,"2,166,086",0.28%
13,Asia,🇸🇦,Saudi Arabia,"2,149,690",1.44%
14,America,🇲🇽,Mexico,"1,964,375",1.31%
15,Asia,🇮🇩,Indonesia,"1,904,569",1.22%
16,Africa,🇸🇩,Sudan,"1,886,068",1.19%
17,Africa,🇱🇾,Libya,"1,759,540",1.18%
18,Asia,🇮🇷,Iran,"1,648,195",1.09%
19,Asia,🇲🇳,Mongolia,"1,564,110",1.04%
20,America,🇵🇪,Peru,"1,285,216",0.86%
21,Africa,🇹🇩,Chad,"1,284,000",0.85%
22,Africa,🇳🇪,Niger,"1,267,000",0.85%
23,Africa,🇦🇴,Angola,"1,246,700",0.84%
24,Africa,🇲🇱,Mali,"1,240,192",0.82%
25,Africa,🇿🇦,South Africa,"1,221,037",0.81%
26,America,🇨🇴,Colombia,"1,141,748",0.74%
27,Africa,🇪🇹,Ethiopia,"1,104,300",0.67%
28,America,🇧🇴,Bolivia,"1,098,581",0.73%
29,Africa,🇲🇷,Mauritania,"1,030,700",0.69%
30,Africa,🇪🇬,Egypt,"1,002,450",0.67%
31,Africa,🇹🇿,Tanzania,"945,087",0.59%
32,Africa,🇳🇬,Nigeria,"923,768",0.61%
33,America,🇻🇪,Venezuela,"916,445",0.59%
34,Asia,🇵🇰,Pakistan,"881,912",0.52%
35,Africa,🇳🇦,Namibia,"825,615",0.55%
36,Africa,🇲🇿,Mozambique,"801,590",0.53%
37,Asia,🇹🇷,Turkey,"783,562",0.52%
38,America,🇨🇱,Chile,"756,102",0.50%
39,Africa,🇿🇲,Zambia,"752,612",0.50%
40,Asia,🇲🇽,Myanmar,"676,578",0.44%
41,Asia,🇦🇫,Afghanistan,"652,230",0.44%
42,Africa,🇸🇴,Somalia,"637,657",0.42%
43,Africa,🇨🇫,Central African Republic,"622,984",0.42%
44,Africa,🇸🇸,South Sudan,"619,745",0.41%
45,Europe,🇺🇦,Ukraine,"603,500",0.39%
46,Africa,🇲🇬,Madagascar,"587,041",0.39%
47,Africa,🇧🇼,Botswana,"582,000",0.38%
48,Africa,🇰🇪,Kenya,"580,367",0.38%
49,Europe,🇫🇷,France,"551,695",0.37%
50,Asia,🇾🇪,Yemen,"527,968",0.35%
51,Asia,🇹🇭,Thailand,"513,120",0.34%
52,Europe,🇪🇸,Spain,"505,992",0.33%
53,Asia,🇹🇲,Turkmenistan,"488,100",0.32%
54,Africa,🇨🇲,Cameroon,"475,442",0.32%
55,Oceania,🇵🇬,Papua New Guinea,"462,840",0.30%
56,Europe,🇸🇪,Sweden,"450,295",0.28%
57,Asia,🇺🇿,Uzbekistan,"447,400",0.29%
58,Africa,🇲🇦,Morocco,"446,550",0.30%
59,Asia,🇮🇶,Iraq,"438,317",0.29%
60,America,🇵🇾,Paraguay,"406,752",0.27%
