Oblast,Raion,Hromada,Settlement,Population
AR of Crimea,Bakhchysaraiskyi,Aromatnenska,Aromatne,946
AR of Crimea,Bakhchysaraiskyi,Aromatnenska,Malovydne,535
AR of Crimea,Bakhchysaraiskyi,Aromatnenska,Riepine,195
AR of Crimea,Bakhchysaraiskyi,Aromatnenska,Rozove,1
AR of Crimea,Bakhchysaraiskyi,Aromatnenska,Viktorivka,1045
AR of Crimea,Bakhchysaraiskyi,Bakhchysaraiska,Bakhchysarai,26482
AR of Crimea,Bakhchysaraiskyi,Bakhchysaraiska,Nauchnyi,783
AR of Crimea,Bakhchysaraiskyi,Dolynnenska,Aktachy,811
AR of Crimea,Bakhchysaraiskyi,Dolynnenska,Dolynne,1665
AR of Crimea,Bakhchysaraiskyi,Dolynnenska,Novenke,511
AR of Crimea,Bakhchysaraiskyi,Holubynska,Aromat,295
AR of Crimea,Bakhchysaraiskyi,Holubynska,Bahata Ushchelyna,166
AR of Crimea,Bakhchysaraiskyi,Holubynska,Holubynka,1286
AR of Crimea,Bakhchysaraiskyi,Holubynska,Novopillia,300
AR of Crimea,Bakhchysaraiskyi,Holubynska,Nyzhnia Holubynka,273
AR of Crimea,Bakhchysaraiskyi,Holubynska,Poliana,236
AR of Crimea,Bakhchysaraiskyi,Holubynska,Putylivka,320
AR of Crimea,Bakhchysaraiskyi,Holubynska,Sokolyne,1502
AR of Crimea,Bakhchysaraiskyi,Holubynska,Soniachnosillia,174
AR of Crimea,Bakhchysaraiskyi,Kashtanivska,Kashtany,1041
AR of Crimea,Bakhchysaraiskyi,Kashtanivska,Kocherhine,485
AR of Crimea,Bakhchysaraiskyi,Kashtanivska,Shevchenkove,963
AR of Crimea,Bakhchysaraiskyi,Kashtanivska,Vidradne,877
AR of Crimea,Bakhchysaraiskyi,Krasnomatska,Khodzha Sala,73
AR of Crimea,Bakhchysaraiskyi,Krasnomatska,Kholmivka,2379
AR of Crimea,Bakhchysaraiskyi,Krasnomatska,Krasnyi Mak,1752
AR of Crimea,Bakhchysaraiskyi,Krasnomatska,Zalisne,359
AR of Crimea,Bakhchysaraiskyi,Kuibyshevska,Albat,2407
AR of Crimea,Bakhchysaraiskyi,Kuibyshevska,Male Sadove,331
AR of Crimea,Bakhchysaraiskyi,Kuibyshevska,Otarchyk,303
AR of Crimea,Bakhchysaraiskyi,Kuibyshevska,Tankove,1481
AR of Crimea,Bakhchysaraiskyi,Kuibyshevska,Velyke Sadove,361
AR of Crimea,Bakhchysaraiskyi,Kuibyshevska,Vysoke,202
AR of Crimea,Bakhchysaraiskyi,Pishchanivska,Berehove,862
AR of Crimea,Bakhchysaraiskyi,Pishchanivska,Pishchane,936
AR of Crimea,Bakhchysaraiskyi,Plodivska,Brianske,902
AR of Crimea,Bakhchysaraiskyi,Plodivska,Dibrivka,613
AR of Crimea,Bakhchysaraiskyi,Plodivska,Dorozhnie,181
AR of Crimea,Bakhchysaraiskyi,Plodivska,Hirka,0
AR of Crimea,Bakhchysaraiskyi,Plodivska,Plodove,1274
AR of Crimea,Bakhchysaraiskyi,Poshtivska,Kazanky,435
AR of Crimea,Bakhchysaraiskyi,Poshtivska,Malynivka,309
AR of Crimea,Bakhchysaraiskyi,Poshtivska,Novopavlivka,758
AR of Crimea,Bakhchysaraiskyi,Poshtivska,Novovasylivka,647
AR of Crimea,Bakhchysaraiskyi,Poshtivska,Poshtove,3194
AR of Crimea,Bakhchysaraiskyi,Poshtivska,Pryiatne Svidannia,428
AR of Crimea,Bakhchysaraiskyi,Poshtivska,Rostuche,363
AR of Crimea,Bakhchysaraiskyi,Poshtivska,Samokhvalove,558
AR of Crimea,Bakhchysaraiskyi,Poshtivska,Sevastianivka,508
AR of Crimea,Bakhchysaraiskyi,Poshtivska,Stalne,81
AR of Crimea,Bakhchysaraiskyi,Poshtivska,Topoli,693
AR of Crimea,Bakhchysaraiskyi,Poshtivska,Zavitne,486
AR of Crimea,Bakhchysaraiskyi,Poshtivska,Zubakine,145
AR of Crimea,Bakhchysaraiskyi,Skalystivska,Hlybokyi Yar,618
AR of Crimea,Bakhchysaraiskyi,Skalystivska,Prokhladne,719
AR of Crimea,Bakhchysaraiskyi,Skalystivska,Skalyste,2774
AR of Crimea,Bakhchysaraiskyi,Skalystivska,Trudoliubivka,514
AR of Crimea,Bakhchysaraiskyi,Tabachnenska,Tabachne,2053
AR of Crimea,Bakhchysaraiskyi,Tinystivska,Aivove,491
AR of Crimea,Bakhchysaraiskyi,Tinystivska,Krasna Zoria,349
AR of Crimea,Bakhchysaraiskyi,Tinystivska,Nekrasovka,347
AR of Crimea,Bakhchysaraiskyi,Tinystivska,Suvorove,579
AR of Crimea,Bakhchysaraiskyi,Tinystivska,Tinyste,1170
AR of Crimea,Bakhchysaraiskyi,Uhlivska,Uhlove,3410
AR of Crimea,Bakhchysaraiskyi,Verkhorichenska,Bashtanivka,228
AR of Crimea,Bakhchysaraiskyi,Verkhorichenska,Kudryne,196
AR of Crimea,Bakhchysaraiskyi,Verkhorichenska,Mashyne,246
AR of Crimea,Bakhchysaraiskyi,Verkhorichenska,Peredushchelne,633
AR of Crimea,Bakhchysaraiskyi,Verkhorichenska,Synapne,290
AR of Crimea,Bakhchysaraiskyi,Verkhorichenska,Verkhorichchia,1203
AR of Crimea,Bakhchysaraiskyi,Vilinska,Rozsadne,12
AR of Crimea,Bakhchysaraiskyi,Vilinska,Viline,6906
AR of Crimea,Bakhchysaraiskyi,Zaliznychnenska,Bilokamiane,400
AR of Crimea,Bakhchysaraiskyi,Zaliznychnenska,Dachne,200
AR of Crimea,Bakhchysaraiskyi,Zaliznychnenska,Mostove,294
AR of Crimea,Bakhchysaraiskyi,Zaliznychnenska,Richne,393
