Oblast,District,Hromada,Settlement,Population_2001
АР Крим,Бахчисарайський,Ароматненська,Ароматне,946
АР Крим,Бахчисарайський,Ароматненська,Маловидне,535
АР Крим,Бахчисарайський,Ароматненська,Рєпіне,195
АР Крим,Бахчисарайський,Ароматненська,Розове,1
АР Крим,Бахчисарайський,Ароматненська,Вікторівка,1045
АР Крим,Бахчисарайський,Бахчисарайська,Бахчисарай,26482
АР Крим,Бахчисарайський,Бахчисарайська,Научний,783
АР Крим,Бахчисарайський,Долинненська,Актачи,811
АР Крим,Бахчисарайський,Долинненська,Долинне,1665
АР Крим,Бахчисарайський,Долинненська,Новеньке,511
АР Крим,Бахчисарайський,Голубинська,Аромат,295
АР Крим,Бахчисарайський,Голубинська,Багата Ущелина,166
АР Крим,Бахчисарайський,Голубинська,Голубинка,1286
АР Крим,Бахчисарайський,Голубинська,Новопілля,300
АР Крим,Бахчисарайський,Голубинська,Нижня Голубинка,273
АР Крим,Бахчисарайський,Голубинська,Поляна,236
АР Крим,Бахчисарайський,Голубинська,Путилівка,320
АР Крим,Бахчисарайський,Голубинська,Соколине,1502
АР Крим,Бахчисарайський,Голубинська,Сонячносілля,174
АР Крим,Бахчисарайський,Каштанівська,Каштани,1041
АР Крим,Бахчисарайський,Каштанівська,Кочергіне,485
АР Крим,Бахчисарайський,Каштанівська,Шевченкове,963
АР Крим,Бахчисарайський,Каштанівська,Відрадне,877
АР Крим,Бахчисарайський,Красномацька,Ходжа Сала,73
АР Крим,Бахчисарайський,Красномацька,Холмівка,2379
АР Крим,Бахчисарайський,Красномацька,Красний Мак,1752
АР Крим,Бахчисарайський,Красномацька,Залісне,359
АР Крим,Бахчисарайський,Куйбишевська,Албат,2407
АР Крим,Бахчисарайський,Куйбишевська,Мале Садове,331
АР Крим,Бахчисарайський,Куйбишевська,Отарчик,303
АР Крим,Бахчисарайський,Куйбишевська,Танкове,1481
АР Крим,Бахчисарайський,Куйбишевська,Велике Садове,361
АР Крим,Бахчисарайський,Куйбишевська,Високе,202
АР Крим,Бахчисарайський,Піщанівська,Берегове,862
АР Крим,Бахчисарайський,Піщанівська,Піщане,936
АР Крим,Бахчисарайський,Плодівська,Брянське,902
АР Крим,Бахчисарайський,Плодівська,Дібрівка,613
АР Крим,Бахчисарайський,Плодівська,Дорожнє,181
АР Крим,Бахчисарайський,Плодівська,Гірка,0
АР Крим,Бахчисарайський,Плодівська,Плодове,1274
АР Крим,Бахчисарайський,Поштівська,Казанки,435
АР Крим,Бахчисарайський,Поштівська,Малинівка,309
АР Крим,Бахчисарайський,Поштівська,Новопавлівка,758
АР Крим,Бахчисарайський,Поштівська,Нововасилівка,647
АР Крим,Бахчисарайський,Поштівська,Поштове,3194
АР Крим,Бахчисарайський,Поштівська,Приятне Свідання,428
АР Крим,Бахчисарайський,Поштівська,Ростуче,363
АР Крим,Бахчисарайський,Поштівська,Самохвалове,558
АР Крим,Бахчисарайський,Поштівська,Севастянівка,508
АР Крим,Бахчисарайський,Поштівська,Стальне,81
АР Крим,Бахчисарайський,Поштівська,Тополі,693
АР Крим,Бахчисарайський,Поштівська,Завітне,486
АР Крим,Бахчисарайський,Поштівська,Зубакіне,145
АР Крим,Бахчисарайський,Скалистівська,Глибокий Яр,618
АР Крим,Бахчисарайський,Скалистівська,Прохладне,719
АР Крим,Бахчисарайський,Скалистівська,Скалисте,2774
АР Крим,Бахчисарайський,Скалистівська,Трудолюбівка,514
АР Крим,Бахчисарайський,Табачненська,Табачне,2053
АР Крим,Бахчисарайський,Тінистівська,Айвове,491
АР Крим,Бахчисарайський,Тінистівська,Красна Зоря,349
АР Крим,Бахчисарайський,Тінистівська,Некрасовка,347
АР Крим,Бахчисарайський,Тінистівська,Суворове,579
АР Крим,Бахчисарайський,Тінистівська,Тінисте,1170
АР Крим,Бахчисарайський,Углівська,Углове,3410
АР Крим,Бахчисарайський,Верхоріченська,Баштанівка,228
АР Крим,Бахчисарайський,Верхоріченська,Кудрине,196
АР Крим,Бахчисарайський,Верхоріченська,Машине,246
АР Крим,Бахчисарайський,Верхоріченська,Передущельне,633
АР Крим,Бахчисарайський,Верхоріченська,Синапне,290
АР Крим,Бахчисарайський,Верхоріченська,Верхоріччя,1203
АР Крим,Бахчисарайський,Вілінська,Розсадне,12
АР Крим,Бахчисарайський,Вілінська,Віліне,6906
АР Крим,Бахчисарайський,Залізничненська,Білокам'яне,400
АР Крим,Бахчисарайський,Залізничненська,Дачне,200
АР Крим,Бахчисарайський,Залізничненська,Мостове,294
АР Крим,Бахчисарайський,Залізничненська,Річне,393
АР Крим,Бахчисарайський,Залізничненська,Сирень,125
АР Крим,Бахчисарайський,Залізничненська,Тургенєвка,1274
АР Крим,Бахчисарайський,Залізничненська,Залізничне,783
АР Крим,Бахчисарайський,Зеленівська,Богатир,188
АР Крим,Бахчисарайський,Зеленівська,Многоріччя,58
АР Крим,Бахчисарайський,Зеленівська,Нагірне,124
АР Крим,Бахчисарайський,Зеленівська,Плотинне,672
АР Крим,Бахчисарайський,Зеленівська,Щасливе,407
АР Крим,Бахчисарайський,Зеленівська,Зелене,280
АР Крим,Бахчисарайський,Зеленівська,Андріївка,1687
АР Крим,Бахчисарайський,Зеленівська,Дальнє,517
АР Крим,Бахчисарайський,Зеленівська,Фронтове,996
АР Крим,Бахчисарайський,Зеленівська,Фруктове,516
АР Крим,Бахчисарайський,Зеленівська,Гончарне,644
АР Крим,Бахчисарайський,Зеленівська,Інкерман,11985
АР Крим,Бахчисарайський,Зеленівська,Кача,5137
АР Крим,Бахчисарайський,Зеленівська,Камишли,36
АР Крим,Бахчисарайський,Зеленівська,Кизилове,33
АР Крим,Бахчисарайський,Зеленівська,Новобобрівське,296
АР Крим,Бахчисарайський,Зеленівська,Орлівка,932
АР Крим,Бахчисарайський,Зеленівська,Орлине,1970
АР Крим,Бахчисарайський,Зеленівська,Осипенко,583
АР Крим,Бахчисарайський,Зеленівська,Озерне,181
АР Крим,Бахчисарайський,Зеленівська,Павлівка,427
АР Крим,Бахчисарайський,Зеленівська,Передове,660
АР Крим,Бахчисарайський,Зеленівська,Підгірне,62
АР Крим,Бахчисарайський,Зеленівська,Полюшко,1595
АР Крим,Бахчисарайський,Зеленівська,Поворотне,228
АР Крим,Бахчисарайський,Зеленівська,Пироговка,331
АР Крим,Бахчисарайський,Зеленівська,Резервне,134
АР Крим,Бахчисарайський,Зеленівська,Рідне,761
АР Крим,Бахчисарайський,Зеленівська,Родниківське,501
АР Крим,Бахчисарайський,Зеленівська,Розсошанка,122
АР Крим,Бахчисарайський,Зеленівська,Широке,623
АР Крим,Бахчисарайський,Зеленівська,Сонячний,1778
АР Крим,Бахчисарайський,Зеленівська,Тернівка,1981
АР Крим,Бахчисарайський,Зеленівська,Тилове,652
АР Крим,Бахчисарайський,Зеленівська,Узунджи,9
АР Крим,Бахчисарайський,Зеленівська,Верхньосадове,2404
АР Крим,Бахчисарайський,Зеленівська,Вишневе,775
АР Крим,Білогірський,Ароматнівська,Ароматне,1687
АР Крим,Білогірський,Ароматнівська,Красногірське,286
АР Крим,Білогірський,Ароматнівська,Курортне,425
АР Крим,Білогірський,Багатівська,Багате,1052
АР Крим,Білогірський,Багатівська,Черемисівка,235
АР Крим,Білогірський,Багатівська,Горлинка,83
АР Крим,Білогірський,Багатівська,Красна Слобода,176
АР Крим,Білогірський,Багатівська,Мелехове,66
АР Крим,Білогірський,Багатівська,Поворотне,103
АР Крим,Білогірський,Багатівська,Руське,196
АР Крим,Білогірський,Білогірська,Білогірськ,18220
АР Крим,Білогірський,Чкаловська,Чкалове,1436
АР Крим,Білогірський,Чкаловська,Коврове,94
АР Крим,Білогірський,Чкаловська,Лугове,169
АР Крим,Білогірський,Чкаловська,Степанівка,72
АР Крим,Білогірський,Чкаловська,Великосілля,634
АР Крим,Білогірський,Чкаловська,Заливне,102
АР Крим,Білогірський,Чорнопільська,Чорнопілля,1282
АР Крим,Білогірський,Чорнопільська,Дозорне,145
АР Крим,Білогірський,Чорнопільська,Кизилівка,120
АР Крим,Білогірський,Чорнопільська,Султан-Сарай,480
АР Крим,Білогірський,Дрофинська,Дрофине,1040
АР Крим,Білогірський,Дрофинська,Стрепетове,667
АР Крим,Білогірський,Дрофинська,Яструбки,469
АР Крим,Білогірський,Іванівська,Іванівка,526
АР Крим,Білогірський,Іванівська,Тамбовка,852
АР Крим,Білогірський,Іванівська,Тарасівка,154
АР Крим,Білогірський,Іванівська,Заріччя,979
АР Крим,Білогірський,Ізобільненська,Ізобільне,1403
АР Крим,Білогірський,Кісточківська,Бюйтен,845
АР Крим,Білогірський,Кісточківська,Кісточківка,1082
АР Крим,Білогірський,Кримськорозівська,Кримська Роза,1617
АР Крим,Білогірський,Кримськорозівська,Вишневе,269
АР Крим,Білогірський,Криничненська,Алексєєвка,303
АР Крим,Білогірський,Криничненська,Голованівка,576
АР Крим,Білогірський,Криничненська,Карасівка,196
АР Крим,Білогірський,Криничненська,Красноселівка,74
АР Крим,Білогірський,Криничненська,Криничне,875
АР Крим,Білогірський,Криничненська,Кирпичне,312
АР Крим,Білогірський,Криничненська,Яблучне,215
АР Крим,Білогірський,Курська,Курське,1306
АР Крим,Білогірський,Курська,Тополівка,231
АР Крим,Білогірський,Листвинська,Кирсанівка,317
АР Крим,Білогірський,Листвинська,Листвинне,628
АР Крим,Білогірський,Листвинська,Цвітуще,425
АР Крим,Білогірський,Мельнична,Бочала,398
АР Крим,Білогірський,Мельнична,Мельничне,875
АР Крим,Білогірський,Мічурінська,Лічебне,705
АР Крим,Білогірський,Мічурінська,Мічурінське,859
АР Крим,Білогірський,Муромська,Дивне,29
АР Крим,Білогірський,Муромська,Хлібне,297
АР Крим,Білогірський,Муромська,Кривцове,16
АР Крим,Білогірський,Муромська,Муромське,910
АР Крим,Білогірський,Муромська,Сінне,374
АР Крим,Білогірський,Михайлівська,Кунцеве,479
АР Крим,Білогірський,Михайлівська,Михайлівка,2672
АР Крим,Білогірський,Михайлівська,Уютне,632
АР Крим,Білогірський,Митрофанівська,Буревісник,491
АР Крим,Білогірський,Митрофанівська,Червоне,503
АР Крим,Білогірський,Митрофанівська,Митрофанівка,1427
АР Крим,Білогірський,Митрофанівська,Плодове,616
АР Крим,Білогірський,Митрофанівська,Розливи,600
АР Крим,Білогірський,Новогригорівська,Корінне,489
АР Крим,Білогірський,Новогригорівська,Новогригорівка,1311
АР Крим,Білогірський,Новогригорівська,Владиславівка,1037
АР Крим,Білогірський,Новожилівська,Аннівка,446
АР Крим,Білогірський,Новожилівська,Новоолександрівка,33
АР Крим,Білогірський,Новожилівська,Новожилівка,1604
АР Крим,Білогірський,Новожилівська,Тургенєве,355
АР Крим,Білогірський,Нижньогірська,Лінійне,495
АР Крим,Білогірський,Нижньогірська,Нижньогірський,9460
АР Крим,Білогірський,Нижньогірська,Зелене,1123
АР Крим,Білогірський,Охотська,Охотське,1584
АР Крим,Білогірський,Охотська,Родники,107
АР Крим,Білогірський,Омелянівська,Омелянівка,1671
АР Крим,Білогірський,Пшеничненська,Дворове,29
АР Крим,Білогірський,Пшеничненська,Любимівка,479
АР Крим,Білогірський,Пшеничненська,Пшеничне,1055
АР Крим,Білогірський,Пшеничненська,Слив'янка,98
АР Крим,Білогірський,Русаківська,Лугове,259
АР Крим,Білогірський,Русаківська,Русаківка,934
АР Крим,Білогірський,Садова,Кукурудзяне,229
АР Крим,Білогірський,Садова,Садове,3224
АР Крим,Білогірський,Садова,Сєрове,119
АР Крим,Білогірський,Цвіточненська,Долинівка,701
АР Крим,Білогірський,Цвіточненська,Цвіточне,2502
АР Крим,Білогірський,Уварівська,Новоіванівка,689
АР Крим,Білогірський,Уварівська,Сім'яне,807
АР Крим,Білогірський,Уварівська,Уварівка,1317
АР Крим,Білогірський,Василівська,Малинівка,138
АР Крим,Білогірський,Василівська,Некрасове,38
АР Крим,Білогірський,Василівська,Павлівка,732
АР Крим,Білогірський,Василівська,Пролом,228
АР Крим,Білогірський,Василівська,Сєверне,166
АР Крим,Білогірський,Василівська,Василівка,1445
АР Крим,Білогірський,Вишенська,Біла Скеля,731
АР Крим,Білогірський,Вишенська,Миронівка,320
АР Крим,Білогірський,Вишенська,Вишенне,1952
АР Крим,Білогірський,Якимівська,Дворіччя,493
АР Крим,Білогірський,Якимівська,Лужки,314
АР Крим,Білогірський,Якимівська,Якимівка,1616
АР Крим,Білогірський,Зеленогірська,Балки,824
АР Крим,Білогірський,Зеленогірська,Міжгір'я,371
АР Крим,Білогірський,Зеленогірська,Новогригорівка,192
АР Крим,Білогірський,Зеленогірська,Новокленове,886
АР Крим,Білогірський,Зеленогірська,Олександрівка,259
АР Крим,Білогірський,Зеленогірська,Овражки,49
АР Крим,Білогірський,Зеленогірська,Пасічне,84
АР Крим,Білогірський,Зеленогірська,Пчолине,14
АР Крим,Білогірський,Зеленогірська,Яковлівка,54
АР Крим,Білогірський,Зеленогірська,Зеленогірське,1942
АР Крим,Білогірський,Земляничненська,Оленівка,29
АР Крим,Білогірський,Земляничненська,Опитне,87
АР Крим,Білогірський,Земляничненська,Радісне,89
АР Крим,Білогірський,Земляничненська,Родники,41
АР Крим,Білогірський,Земляничненська,Синьокам'янка,377
АР Крим,Білогірський,Земляничненська,Учебне,88
АР Крим,Білогірський,Земляничненська,Земляничне,708
АР Крим,Білогірський,Желябовська,Ломоносове,748
АР Крим,Білогірський,Желябовська,Желябовка,3043
АР Крим,Білогірський,Жемчужинська,Піни,505
АР Крим,Білогірський,Жемчужинська,Прирічне,487
АР Крим,Білогірський,Жемчужинська,Жемчужина,1238
АР Крим,Білогірський,Зоркінська,Межове,207
АР Крим,Білогірський,Зоркінська,Ніжинське,191
АР Крим,Білогірський,Зоркінська,Широке,252
АР Крим,Білогірський,Зоркінська,Зоркіне,1368
АР Крим,Білогірський,Зуйська,Баланове,138
АР Крим,Білогірський,Зуйська,Барабанове,126
АР Крим,Білогірський,Зуйська,Литвиненкове,1451
АР Крим,Білогірський,Зуйська,Нижні Орішники,596
АР Крим,Білогірський,Зуйська,Петрове,499
АР Крим,Білогірський,Зуйська,Українка,1899
АР Крим,Білогірський,Зуйська,Верхні Орішники,226
АР Крим,Білогірський,Зуйська,Володимирівка,168
АР Крим,Білогірський,Зуйська,Зуя,7085
АР Крим,Білогірський,Зибинська,Мельники,341
АР Крим,Білогірський,Зибинська,Зибини,1390
АР Крим,Джанкойський,Азовська,Азовське,3798
АР Крим,Джанкойський,Чайкинська,Чайкине,1121
АР Крим,Джанкойський,Чайкинська,Мисове,78
АР Крим,Джанкойський,Джанкойська,Джанкой,36086
АР Крим,Джанкойський,Ізумруднівська,Дмитрівка,654
АР Крим,Джанкойський,Ізумруднівська,Ізумрудне,1965
АР Крим,Джанкойський,Ізумруднівська,Калинівка,720
АР Крим,Джанкойський,Ізумруднівська,Мічурінівка,186
АР Крим,Джанкойський,Ізумруднівська,Новостепове,1687
АР Крим,Джанкойський,Ізумруднівська,Овочеве,812
АР Крим,Джанкойський,Кіндратівська,Дорожнє,22
АР Крим,Джанкойський,Кіндратівська,Кіндратове,990
АР Крим,Джанкойський,Кіндратівська,Мішен-Найман,373
АР Крим,Джанкойський,Кіндратівська,Рубинівка,449
АР Крим,Джанкойський,Кримківська,Кримка,1894
АР Крим,Джанкойський,Лобанівська,Лобанове,1507
АР Крим,Джанкойський,Лобанівська,Мар'їне,759
