id,date,name,category,value,Дохід_₴,Чист.приб._₴,К-ть_прац.,Comment
1,2024-12-31,АТБ,Retail,208905,208905300000,3099374000,46084,opendatabot
2,2024-12-31,Сільпо,Retail,93017,93017469000,154100000,31366,opendatabot
3,2024-12-31,Аврора,Retail,37981,37980639000,4086019000,125536,opendatabot
4,2024-12-31,Фора,Retail,34953,34952621000,123504000,9192,opendatabot
5,2024-12-31,Rozetka,Retail,29743,29742571000,16305000,940,opendatabot
6,2024-12-31,Novus,Retail,29015,29014664000,555278000,7160,opendatabot
7,2024-12-31,Metro,Retail,28754,28754171000,108133000,3151,opendatabot
8,2024-12-31,EVA,Retail,26929,26929261000,1405435000,12588,opendatabot
9,2024-12-31,Varus,Retail,20024,20023583000,35177000,6557,opendatabot
10,2024-12-31,Велмарт,Retail,19919,19918540000,116629000,5154,opendatabot
11,2023-12-31,АТБ,Retail,181090,181089665000,-450399000,44094,opendatabot
12,2023-12-31,Сільпо,Retail,84728,84727987000,-1850887000,29888,opendatabot
13,2023-12-31,Аврора,Retail,27014,27014149000,4240427000,11863,opendatabot
14,2023-12-31,Фора,Retail,29493,29493148000,21458000,9274,opendatabot
15,2023-12-31,Rozetka,Retail,25464,25463875000,12016000,800,opendatabot
16,2023-12-31,Novus,Retail,23587,23586547000,-310699000,7145,opendatabot
17,2023-12-31,Metro,Retail,25554,25554115000,-422555000,3134,opendatabot
18,2023-12-31,EVA,Retail,21000,21000332000,2211857000,12336,opendatabot
19,2023-12-31,Varus,Retail,17514,17514376000,200074000,6302,opendatabot
20,2023-12-31,Велмарт,Retail,17156,17156044000,310631000,4868,opendatabot
21,2022-12-31,АТБ,Retail,148333,148332869000,2527644000,48872,opendatabot
22,2022-12-31,Сільпо,Retail,69991,69990601000,-7631732000,36496,opendatabot
23,2022-12-31,Аврора,Retail,13978,13978208000,2288062000,6459,opendatabot
24,2022-12-31,Фора,Retail,19594,19593543000,9767000,9450,opendatabot
25,2022-12-31,Rozetka,Retail,18388,18388104000,119062000,923,opendatabot
26,2022-12-31,Novus,Retail,16012,16011547000,-2518400000,7150,opendatabot
27,2022-12-31,Metro,Retail,20152,20152149000,-455416000,3482,opendatabot
28,2022-12-31,EVA,Retail,15690,15689849000,973848000,12688,opendatabot
29,2022-12-31,Varus,Retail,14579,14578554000,118020000,7197,opendatabot
30,2022-12-31,Велмарт,Retail,13526,13526203000,220648000,4759,opendatabot
31,2021-12-31,АТБ,Retail,148745,148745255000,8328888000,60782,opendatabot
32,2021-12-31,Сільпо,Retail,72784,72784232000,-1846179000,42175,opendatabot
33,2021-12-31,Аврора,Retail,5816,5816458900,431730800,3188,opendatabot
34,2021-12-31,Фора,Retail,18920,18920074000,20326000,9815,opendatabot
35,2021-12-31,Rozetka,Retail,21173,21172647000,33962000,417,opendatabot
36,2021-12-31,Novus,Retail,17300,17300000000,100000000,,
37,2021-12-31,Metro,Retail,25944,25944347000,1001113000,3482,opendatabot
38,2021-12-31,EVA,Retail,16990,16990297000,834409000,13201,opendatabot
39,2021-12-31,Varus,Retail,13776,13776336000,219223000,7430,opendatabot
40,2021-12-31,Велмарт,Retail,12680,12679965000,88446000,5885,opendatabot
41,2020-12-31,АТБ,Retail,123864,123864393000,5768666000,—,opendatabot
42,2020-12-31,Сільпо,Retail,64403,64402634000,-3114238000,—,opendatabot
43,2020-12-31,Аврора,Retail,1014,1014026200,55891000,—,opendatabot
44,2020-12-31,Фора,Retail,16376,16375890000,-39023000,—,opendatabot
45,2020-12-31,Rozetka,Retail,18021,18020721000,110387000,—,opendatabot
46,2020-12-31,Novus,Retail,12700,12700000000,443980000,,
47,2020-12-31,Metro,Retail,21464,21464254000,-1952408000,—,opendatabot
48,2020-12-31,EVA,Retail,13445,13445408000,540192000,—,opendatabot
49,2020-12-31,Varus,Retail,12965,12964875000,115758000,—,opendatabot
50,2020-12-31,Велмарт,Retail,12169,12169099000,63118000,—,opendatabot
51,2019-12-31,АТБ,Retail,104900,104900000000,4400000000,,
52,2019-12-31,Сільпо,Retail,62400,62400000000,-300000000,,
53,2019-12-31,Аврора,Retail,0,,,,
54,2019-12-31,Фора,Retail,14300,14300000000,,,
55,2019-12-31,Rozetka,Retail,0,,,,
56,2019-12-31,Novus,Retail,11000,11000000000,200000000,,
57,2019-12-31,Metro,Retail,17800,17800000000,1100000000,,
60,2019-12-31,Велмарт,Retail,11100,11100000000,20000000,,
61,2018-12-31,АТБ,Retail,103600,103600000000,,,
71,2017-12-31,АТБ,Retail,80200,80200000000,,,
81,2016-12-31,АТБ,Retail,58500,58500000000,,,
91,2015-12-31,АТБ,Retail,46700,46700000000,,,
116,2014-12-31,АТБ,Retail,38900,38900000000,,,
117,2013-12-31,АТБ,Retail,33700,33700000000,,,
118,2012-12-31,АТБ,Retail,26000,26000000000,,,
119,2011-12-31,АТБ,Retail,18000,18000000000,,,
120,2010-12-31,АТБ,Retail,12960,12960000000,,,
130,2024-12-31,Auchan,Retail,10100,10100000000,,,
131,2023-12-31,Auchan,Retail,11000,11000000000,,,
132,2022-12-31,Auchan,Retail,10700,10700000000,,,
133,2021-12-31,Auchan,Retail,14500,14500000000,,,
134,2020-12-31,Auchan,Retail,-600,-600000000,,,
